,source,target,numVisited,pathLength,uniqueVisited,performance
1022,1580035160.0,1580035240.0,2,2,2,0.0
1023,1580034994.0,1580035137.0,9,7,8,0.2222222222222222
1024,1580035031.0,6051095781.0,38,10,34,0.736842105263158
1025,1580035137.0,6051095782.0,71,14,46,0.8028169014084507
1026,1580035160.0,6051095782.0,77,12,44,0.8441558441558441
1027,444336014.0,1580034748.0,27,11,25,0.5925925925925926
1028,1580035042.0,6051095782.0,64,6,40,0.90625
1029,1580034900.0,1580035284.0,34,8,31,0.7647058823529411
1030,444336014.0,1580034817.0,30,11,27,0.6333333333333333
1031,1580034964.0,1580035021.0,5,3,5,0.4
1032,1580034888.0,1580034913.0,7,5,6,0.2857142857142857
1033,1344566969.0,1580035198.0,60,7,31,0.8833333333333333
1034,1580034875.0,1580034896.0,2,2,2,0.0
1035,1580035175.0,3249304311.0,63,6,38,0.9047619047619048
1036,1580034744.0,6051095781.0,54,13,38,0.7592592592592593
1037,1580034905.0,1580035688.0,17,9,16,0.47058823529411764
1038,1580034737.0,1580034945.0,39,16,34,0.5897435897435898
1039,1344566969.0,1580035688.0,17,5,15,0.7058823529411764
1040,1580035042.0,1580035137.0,13,8,12,0.3846153846153846
1041,1580035042.0,1580035728.0,21,10,20,0.5238095238095238
1042,1580034748.0,1580034879.0,7,5,7,0.2857142857142857
1043,1580034918.0,1580035728.0,7,4,6,0.4285714285714286
1044,1580034918.0,1580035175.0,4,4,4,0.0
1045,1580034964.0,1580035061.0,41,6,36,0.8536585365853658
1046,1580034879.0,6051095781.0,61,18,38,0.7049180327868853
1047,1580034900.0,1580035240.0,24,8,22,0.6666666666666667
1048,444336014.0,1580035065.0,4,4,4,0.0
1049,1580034527.0,1580035175.0,18,12,18,0.33333333333333337
1050,1580035061.0,1580035350.0,13,6,10,0.5384615384615384
1051,1580034527.0,1580034737.0,3,3,3,0.0
1052,1580034875.0,1580034899.0,57,10,36,0.8245614035087719
1053,444336009.0,1580034945.0,57,18,34,0.6842105263157895
1054,1580034918.0,3994361361.0,27,7,24,0.7407407407407407
1055,1580034967.0,1580035042.0,22,6,20,0.7272727272727273
1056,3249304309.0,3994361361.0,9,6,9,0.33333333333333337
1057,1580034744.0,1580034748.0,3,3,3,0.0
1058,1580034817.0,1580034920.0,6,6,6,0.0
1059,1344566974.0,1580035198.0,58,10,31,0.8275862068965517
1060,1344566969.0,1580034918.0,11,4,10,0.6363636363636364
1061,1580035137.0,3994361363.0,21,7,19,0.6666666666666667
1062,1580034875.0,1580034920.0,7,5,7,0.2857142857142857
1063,1580034817.0,1580035240.0,27,8,20,0.7037037037037037
1064,1580034773.0,1580035031.0,19,7,16,0.631578947368421
1065,1580034694.0,1580034737.0,2,2,2,0.0
1066,1580034879.0,1580034967.0,8,5,8,0.375
1067,1344566973.0,1580035031.0,2,2,2,0.0
